id,U[m/s],SigmaU[m/s],Alpha,Hs[m],Tp[s],Density[kg/m3],Yaw[deg],Ch 8 Electrical power [W] Mean,Ch 17 Tower base moment Mx[kNm] SeqM3,Ch 18 Tower base moment My[kNm] SeqM3,Ch 19 Tower base moment Mz[kNm] SeqM3,Ch 23 Tower top moment Mx[kNm] SeqM3,Ch 24 Tower top moment My[kNm] SeqM3,Ch 25 Tower top moment Mz[kNm] SeqM3,Ch 27 Blade1 root moment Mx[kNm] SeqM10,Ch 28 Blade1 root moment My[kNm] SeqM10,Ch 29 Blade1 root moment Mz[kNm] SeqM10,Ch 30 Blade2 root moment Mx[kNm] SeqM10,Ch 31 Blade2 root moment My[kNm] SeqM10,Ch 32 Blade2 root moment Mz[kNm] SeqM10,Ch 33 Blade3 root moment Mx[kNm] SeqM10,Ch 34 Blade3 root moment My[kNm] SeqM10,Ch 35 Blade3 root moment Mz[kNm] SeqM10
4758,9.092120798,1.350531675,0.147299574,2.956407109,9.93635391,1.11341095,12.29493332,7.97E+06,1.12E+05,5.72E+04,6.38E+04,6.09E+04,7.89E+03,6.24E+04,3.15E+04,5.68E+04,8.72E+02,3.15E+04,5.69E+04,8.54E+02,3.25E+04,5.69E+04,8.58E+02
4759,17.71188828,2.426527214,0.222370996,4.227255432,10.2954119,1.157881498,14.05963898,1.50E+07,2.17E+05,1.47E+05,1.31E+05,1.30E+05,1.83E+04,1.27E+05,4.76E+04,6.32E+04,9.12E+02,5.27E+04,6.29E+04,9.32E+02,5.15E+04,6.28E+04,9.21E+02
4760,5.395713502,1.38583753,-0.193381528,0.727557292,7.847812978,1.176627755,-14.07184982,2.20E+06,1.77E+05,5.14E+04,5.92E+04,6.33E+04,6.55E+03,5.80E+04,2.36E+04,5.37E+04,5.40E+02,2.25E+04,5.38E+04,5.44E+02,2.30E+04,5.37E+04,5.43E+02
4761,11.42880241,1.454036017,0.076806369,1.875035013,9.328122901,1.19025898,-12.30714417,1.48E+07,1.49E+05,6.00E+04,6.60E+04,8.22E+04,9.66E+03,6.37E+04,2.93E+04,5.85E+04,1.10E+03,2.94E+04,5.84E+04,1.10E+03,3.10E+04,5.85E+04,1.10E+03
4762,8.366683475,1.349389189,0.094590761,1.959187277,11.44095576,1.201685905,-10.54243851,7.41E+06,1.27E+05,4.98E+04,6.38E+04,6.37E+04,8.06E+03,6.27E+04,2.49E+04,5.52E+04,8.67E+02,2.53E+04,5.55E+04,8.75E+02,2.43E+04,5.53E+04,8.68E+02
4763,15.82758868,2.310530343,0.185559968,3.028805754,6.132472288,1.211999774,-8.777732849,1.50E+07,2.15E+05,1.06E+05,1.10E+05,1.25E+05,1.47E+04,1.07E+05,5.66E+04,6.27E+04,8.77E+02,5.53E+04,6.25E+04,9.08E+02,6.02E+04,6.30E+04,9.21E+02
4764,6.922585002,1.078709371,0.256034616,2.445961881,7.519941136,1.2217834,-7.013027191,4.24E+06,1.24E+05,3.89E+04,3.47E+04,4.25E+04,4.62E+03,3.40E+04,1.97E+04,5.41E+04,6.39E+02,1.98E+04,5.41E+04,6.45E+02,1.96E+04,5.41E+04,6.44E+02
4765,13.30175222,1.924644194,0.053437596,3.423826158,8.240514176,1.231444359,-5.24832058,1.50E+07,1.84E+05,9.08E+04,1.06E+05,1.10E+05,1.35E+04,1.02E+05,4.27E+04,5.92E+04,9.99E+02,3.94E+04,5.87E+04,9.98E+02,3.80E+04,5.98E+04,1.01E+03
4766,9.835314187,1.762522337,0.067172507,3.565271723,9.366244512,1.241354465,-3.483614922,1.19E+07,2.01E+05,6.01E+04,7.76E+04,7.90E+04,1.05E+04,7.51E+04,2.99E+04,5.85E+04,1.11E+03,4.00E+04,5.88E+04,1.14E+03,3.86E+04,5.89E+04,1.14E+03
4767,21.09189719,2.633593312,0.183335271,2.208558437,5.822708499,1.251959562,-1.718909264,1.50E+07,2.20E+05,1.97E+05,1.21E+05,1.36E+05,1.71E+04,1.17E+05,6.18E+04,6.27E+04,8.64E+02,6.53E+04,6.52E+04,8.93E+02,6.51E+04,6.34E+04,8.59E+02
4768,4.316249209,1.027846745,0.17953077,1.258572627,8.0728113,1.26395607,0.045797348,1.09E+06,1.19E+05,3.27E+04,3.95E+04,4.66E+04,5.22E+03,3.88E+04,1.75E+04,5.41E+04,4.39E+02,1.82E+04,5.39E+04,4.32E+02,1.77E+04,5.40E+04,4.39E+02
4769,10.41193471,1.981739666,0.256780482,2.210776377,8.670108681,1.278784871,1.810503006,1.27E+07,1.70E+05,7.73E+04,9.71E+04,1.07E+05,1.40E+04,9.44E+04,4.19E+04,5.97E+04,1.12E+03,4.23E+04,6.02E+04,1.14E+03,4.47E+04,6.03E+04,1.12E+03
4770,7.467251097,1.08073775,-0.041253467,2.231750648,9.786796099,1.30105865,3.575208664,5.83E+06,1.19E+05,4.08E+04,4.48E+04,4.54E+04,5.85E+03,4.39E+04,2.33E+04,5.47E+04,7.72E+02,1.75E+04,5.47E+04,7.49E+02,1.71E+04,5.45E+04,7.59E+02
4771,14.13614304,1.976641841,0.120769098,3.214006643,10.23819199,1.120966315,5.339914322,1.50E+07,2.04E+05,8.33E+04,9.40E+04,9.50E+04,1.33E+04,9.08E+04,3.73E+04,6.00E+04,9.65E+02,3.82E+04,6.05E+04,9.24E+02,4.21E+04,5.98E+04,9.33E+02
4772,5.987096859,1.296266025,0.097034466,2.766242936,12.12106181,1.159664273,7.104621887,2.64E+06,1.52E+05,4.01E+04,4.18E+04,4.55E+04,5.64E+03,4.07E+04,1.64E+04,5.43E+04,5.51E+02,1.55E+04,5.43E+04,5.51E+02,1.67E+04,5.45E+04,5.48E+02
4773,12.08632538,1.643960511,0.191214918,3.872577828,13.23650463,1.177798629,8.869327545,1.48E+07,1.70E+05,9.69E+04,8.37E+04,9.44E+04,1.29E+04,8.06E+04,3.90E+04,6.00E+04,1.09E+03,3.51E+04,6.03E+04,1.08E+03,3.62E+04,6.03E+04,1.10E+03
4774,8.909556998,1.478600449,0.308570481,1.245296218,4.77892702,1.191197038,10.6340332,8.33E+06,1.28E+05,5.71E+04,6.51E+04,7.48E+04,8.25E+03,6.24E+04,3.57E+04,5.81E+04,8.85E+02,3.66E+04,5.84E+04,9.05E+02,3.55E+04,5.82E+04,8.90E+02
4775,17.16788768,2.569720074,0.033377196,2.559836507,6.097455048,1.202509642,12.39873886,1.50E+07,2.12E+05,1.45E+05,1.27E+05,1.23E+05,1.80E+04,1.22E+05,4.73E+04,6.19E+04,9.28E+02,4.51E+04,6.24E+04,9.26E+02,4.52E+04,6.08E+04,9.48E+02
4776,5.191024701,0.977195929,-0.096088392,1.735778693,7.444963493,1.212765455,14.16344452,2.13E+06,9.09E+04,2.77E+04,3.07E+04,3.09E+04,3.72E+03,3.01E+04,1.40E+04,5.36E+04,5.16E+02,1.42E+04,5.36E+04,5.15E+02,1.43E+04,5.36E+04,5.16E+02
4777,11.21850057,1.780852705,0.105265289,2.653769645,8.053475881,1.222526312,-13.96804428,1.43E+07,1.90E+05,6.88E+04,8.40E+04,9.85E+04,1.13E+04,8.12E+04,3.71E+04,5.84E+04,1.18E+03,3.93E+04,5.82E+04,1.18E+03,3.52E+04,5.81E+04,1.17E+03
4778,8.186739337,1.950985419,0.13225683,2.6663125,9.005259241,1.232192874,-12.20333767,7.16E+06,1.94E+05,8.17E+04,8.28E+04,9.14E+04,1.13E+04,8.10E+04,3.76E+04,5.72E+04,8.95E+02,3.02E+04,5.74E+04,9.08E+02,3.86E+04,5.73E+04,9.00E+02
4779,15.4477382,1.736109074,0.210567469,3.745371461,9.440043366,1.242138863,-10.43863201,1.50E+07,1.70E+05,1.09E+05,8.54E+04,1.02E+05,1.19E+04,8.28E+04,5.05E+04,6.11E+04,8.38E+02,4.98E+04,6.12E+04,8.36E+02,5.07E+04,6.11E+04,8.41E+02
4780,6.738944482,1.149130095,-0.159279707,3.518706457,11.1034397,1.252821207,-8.6739254,4.35E+06,1.55E+05,3.87E+04,4.00E+04,4.53E+04,5.04E+03,3.92E+04,2.52E+04,5.37E+04,6.52E+02,2.56E+04,5.36E+04,6.57E+02,2.51E+04,5.35E+04,6.55E+02
4781,13.04367225,1.982781606,0.087142817,1.714523149,7.621296905,1.264968634,-6.909219742,1.50E+07,1.88E+05,9.74E+04,1.00E+05,1.10E+05,1.45E+04,9.66E+04,4.20E+04,6.11E+04,1.02E+03,4.28E+04,6.06E+04,1.02E+03,4.38E+04,6.14E+04,1.02E+03
4782,9.647189487,1.322049446,0.099358131,1.881243747,9.276107171,1.28012681,-5.14451313,1.16E+07,1.08E+05,4.50E+04,6.16E+04,6.67E+04,8.51E+03,5.96E+04,2.35E+04,5.74E+04,1.11E+03,2.46E+04,5.74E+04,1.11E+03,2.46E+04,5.73E+04,1.12E+03
4783,19.93786463,2.595902885,0.195152037,3.258718624,9.747610802,1.30350709,-3.379807472,1.50E+07,2.34E+05,1.77E+05,1.25E+05,1.43E+05,1.85E+04,1.21E+05,6.77E+04,6.39E+04,9.37E+02,7.32E+04,6.51E+04,1.03E+03,6.75E+04,6.37E+04,9.24E+02
4784,4.766595681,1.178803311,0.270038257,2.04762302,13.02911969,1.126699805,-1.615101814,1.43E+06,1.37E+05,3.29E+04,3.84E+04,4.53E+04,5.05E+03,3.75E+04,2.06E+04,5.41E+04,4.67E+02,2.03E+04,5.41E+04,4.66E+02,2.06E+04,5.41E+04,4.67E+02
4785,10.80892055,1.51947608,-0.000600716,2.975406599,6.951856325,1.161367774,0.14960289,1.39E+07,1.67E+05,6.65E+04,7.46E+04,8.49E+04,1.21E+04,7.21E+04,2.75E+04,5.66E+04,1.14E+03,2.68E+04,5.70E+04,1.15E+03,2.71E+04,5.64E+04,1.15E+03
